Quote;Title
quote;I hear people say this person is cool and this person is not cool. People are cool. Man has never invented anything as awesome as a an actual person but sometimes we value the objects we create over life itself
quote;People tried to talk me out of running for President. Never let weak controlling people kill your spirit
